freq (Hz),Gain (dB),Phase (degC)
7691.304403,16.48542869,138.1480316
7798.301105,16.46516601,138.4958101
7906.78628,16.44671902,138.8383592
8016.780634,16.43010307,139.1753268
8128.305162,16.41533273,139.5063486
8241.38115,16.40242174,139.8310478
8356.030182,16.39138293,140.1490348
8472.274141,16.38222812,140.4599067
8590.135215,16.37496804,140.7632472
8709.6359,16.36961221,141.0586254
8830.799004,16.36616887,141.3455964
8953.647655,16.36464483,141.6237002
9078.205302,16.36504533,141.8924613
9204.495718,16.36737396,142.1513886
9332.543008,16.37163245,142.3999748
9462.371614,16.37782054,142.637696
9594.006315,16.38593581,142.8640111
9727.472238,16.39597346,143.078362
9862.794856,16.40792613,143.2801727
10000,16.42178368,143.468849
10139.11386,16.43753294,143.6437787
10280.16298,16.45515745,143.804331
10423.17429,16.47463722,143.9498565
10568.17509,16.49594836,144.0796869
10715.19305,16.51906286,144.1931354
10864.25624,16.54394816,144.2894966
11015.3931,16.57056682,144.368047
11168.63248,16.59887617,144.428045
11324.00363,16.62882783,144.4687321
11481.53621,16.66036731,144.4893333
11641.26029,16.69343356,144.489058
11803.20636,16.72795846,144.4671022
11967.40531,16.76386634,144.4226491
12133.8885,16.80107342,144.3548716
12302.68771,16.83948732,144.2629349
12473.83514,16.87900645,144.1459988
12647.36347,16.91951946,144.0032213
12823.30583,16.9609047,143.8337625
13001.69578,17.00302961,143.6367886
13182.56739,17.04575021,143.4114774
13365.95517,17.08891055,143.1570238
13551.89412,17.13234224,142.8726461
13740.41975,17.17586398,142.5575933
13931.56803,17.21928125,142.211153
14125.37545,17.26238596,141.8326599
14321.87899,17.30495634,141.4215057
14521.11618,17.34675687,140.977149
14723.12502,17.38753842,140.4991264
14927.9441,17.42703852,139.9870638
15135.61248,17.46498193,139.440689
15346.16983,17.50108135,138.8598439
15559.65632,17.53503844,138.2444969
15776.1127,17.56654513,137.5947561
15995.58029,17.59528521,136.9108812
16218.10097,17.62093624,136.1932951
16443.71723,17.64317181,135.442595
16672.47213,17.66166406,134.6595611
16904.40932,17.67608658,133.8451649
17139.57308,17.68611745,133.000574
17378.00829,17.69144272,132.127155
17619.76046,17.69175983,131.2264736
17864.87575,17.68678136,130.300291
18113.40093,17.67623865,129.350557
18365.38343,17.65988545,128.3793996
18620.87137,17.6375014,127.3891109
18879.91349,17.60889525,126.3821291
19142.55925,17.57390772,125.3610176
19408.85878,17.53241394,124.3284412
19678.8629,17.48432537,123.2871393
19952.62315,17.42959107,122.2398978
20230.19179,17.36819842,121.1895195
20511.62179,17.30017315,120.1387944
20796.96687,17.22557865,119.0904703
21086.2815,17.14451474,118.0472241
21379.6209,17.05711578,117.0116353
21677.04105,16.96354827,115.9861624
21978.59873,16.86400803,114.9731209
22284.35149,16.75871697,113.9746659
22594.3577,16.64791966,112.9927774
22908.67653,16.53187969,112.0292502
23227.36796,16.41087601,111.0856861
23550.49284,16.28519931,110.1634908
23878.11283,16.15514841,109.2638735
24210.29047,16.02102698,108.3878494
24547.08916,15.88314035,107.5362452
24888.57318,15.74179267,106.7097064
25234.80772,15.59728436,105.9087064
25585.85887,15.44990986,105.1335573
25941.79362,15.29995572,104.3844216
26302.67992,15.14769895,103.6613242
26668.58665,14.99340577,102.964165
27039.58364,14.83733056,102.2927319
27415.74172,14.67971512,101.6467127
27797.13268,14.52078812,101.0257078
28183.82931,14.36076484,100.4292415
28575.90543,14.19984702,99.8567728
28973.43588,14.03822291,99.30770593
29376.49652,13.87606742,98.78139975
29785.16429,13.71354244,98.27717645
30199.5172,13.55079718,97.79432951
30619.63434,13.3879686,97.33213082
31045.59588,13.22518198,96.88983716
31477.48314,13.06255134,96.46669584
31915.37855,12.90018009,96.06194975
32359.36569,12.73816157,95.67484179
32809.52931,12.5765796,95.30461862
33265.95533,12.4155091,94.95053403
33728.73087,12.25501662,94.61185166
34197.94425,12.09516092,94.28784742
34673.68505,11.93599348,93.97781146
35156.04405,11.77755902,93.68104974
35645.11334,11.61989601,93.3968854
36140.98626,11.46303711,93.12465975
36643.75746,11.30700966,92.86373306
37153.52291,11.15183603,92.61348516
37670.3799,10.99753411,92.37331585
38194.42708,10.8441176,92.14264506
38725.76449,10.6915964,91.92091305
39264.49354,10.53997693,91.7075803
39810.71706,10.38926244,91.50212747
40364.5393,10.23945328,91.30405515
40926.06597,10.09054717,91.11288361
41495.40426,9.942539476,90.92815246
42072.66284,9.795423384,90.74942031
42657.95188,9.649190153,90.57626433
43251.3831,9.503829296,90.4082798
43853.06978,9.359328765,90.24507968
44463.12675,9.215675118,90.0862941
45081.67045,9.072853675,89.9315699
45708.81896,8.930848659,89.78057008
46344.69197,8.789643335,89.63297334
46989.41086,8.649220124,89.48847356
47643.09868,8.509560724,89.3467793
48305.8802,8.370646209,89.20761329
48977.88194,8.232457124,89.07071194
49659.23215,8.094973581,88.93582487
50350.06088,7.95817533,88.8027144
51050.5,7.822041844,88.6711551
51760.6832,7.686552381,88.54093332
52480.74602,7.55168605,88.41184677
53210.82593,7.41742187,88.28370403
53951.06225,7.283738823,88.15632414
54701.59629,7.150615904,88.0295362
55462.5713,7.018032163,87.90317897
56234.13252,6.885966751,87.77710042
57016.42723,6.754398955,87.65115739
57809.60474,6.623308231,87.52521522
58613.81645,6.492674239,87.39914736
59429.21586,6.362476871,87.27283503
60255.95861,6.232696275,87.14616688
61094.20249,6.103312879,87.01903865
61944.10751,5.974307414,86.89135284
62805.83588,5.845660932,86.76301843
63679.55209,5.717354824,86.63395054
64565.4229,5.589370834,86.50407017
65463.61741,5.461691073,86.37330385
66374.30704,5.334298032,86.24158345
67297.66563,5.207174592,86.10884586
68233.86941,5.080304031,85.97503273
69183.09709,4.953670035,85.84009022
70145.52984,4.827256702,85.70396879
71121.35137,4.70104855,85.56662289
72110.74792,4.575030515,85.42801083
73113.90835,4.449187962,85.28809447
74131.02413,4.323506683,85.14683904
75162.2894,4.197972896,85.00421294
76207.901,4.072573251,84.86018752
77268.05851,3.947294824,84.71473689
78342.96428,3.82212512,84.56783776
79432.82347,3.697052069,84.41946919
80537.84412,3.572064021,84.26961249
81658.23714,3.447149749,84.11825098
82794.21637,3.322298438,83.96536988
83945.99865,3.197499686,83.81095613
85113.80382,3.072743495,83.6549982
86297.85478,2.948020271,83.49748602
87498.37752,2.82332081,83.33841075
88715.6012,2.698636298,83.17776469
89949.75815,2.573958302,83.01554115
91201.08394,2.449278764,82.8517343
92469.81739,2.32458999,82.68633904
93756.20069,2.199884645,82.51935091
95060.47937,2.075155747,82.35076594
96382.90236,1.950396651,82.18058057
97723.7221,1.825601048,82.00879153
99083.19449,1.70076295,81.83539572
100461.579,1.575876686,81.66039014
101859.1388,1.450936887,81.48377179
103276.1406,1.32593848,81.30553758
104712.8548,1.200876676,81.12568421
106169.5557,1.075746961,80.94420814
107646.5214,0.950545084,80.7611055
109144.0336,0.825267049,80.57637197
110662.3784,0.699909101,80.39000276
112201.8454,0.574467719,80.20199254
113762.7286,0.448939601,80.01233534
115345.3258,0.323321655,79.82102452
116949.9391,0.197610989,79.62805271
118576.8748,0.071804898,79.43341175
120226.4435,-0.054099148,79.23709264
121898.9599,-0.180103514,79.0390855
123594.7433,-0.30621041,78.83937952
125314.1175,-0.432421906,78.63796294
127057.4105,-0.558739941,78.43482297
128824.9552,-0.685166337,78.2299458
130617.0888,-0.811702805,78.02331657
132434.1535,-0.938350964,77.81491931
134276.4961,-1.065112347,77.60473693
136144.4682,-1.191988416,77.39275122
138038.4265,-1.318980568,77.1789428
139958.7323,-1.446090155,76.96329113
141905.7522,-1.573318487,76.7457745
143879.8578,-1.700666848,76.52637
145881.426,-1.828136505,76.30505352
147910.8388,-1.955728722,76.08179975
149968.4836,-2.083444767,75.85658221
152054.753,-2.211285926,75.62937319
154170.0453,-2.339253511,75.4001438
156314.7643,-2.467348874,75.16886398
158489.3192,-2.595573415,74.93550249
160694.1253,-2.723928592,74.70002691
162929.6033,-2.852415933,74.4624037
165196.1798,-2.981037046,74.22259818
167494.2876,-3.109793626,73.98057457
169824.3652,-3.238687467,73.73629599
172186.8575,-3.367720473,73.48972451
174582.2153,-3.496894661,73.24082117
177010.8958,-3.62621218,72.98954598
179473.3627,-3.755675309,72.73585801
181970.0859,-3.885286473,72.47971536
184501.5419,-4.015048249,72.22107523
187068.214,-4.144963374,71.95989395
189670.5921,-4.275034753,71.69612701
192309.1729,-4.405265468,71.42972913
194984.46,-4.535658783,71.16065424
197696.964,-4.666218154,70.88885561
200447.2027,-4.796947233,70.61428582
203235.7011,-4.927849878,70.33689684
206062.9913,-5.058930156,70.05664007
208929.6131,-5.190192353,69.77346641
211836.1135,-5.321640978,69.48732629
214783.0474,-5.453280766,69.19816972
217770.9772,-5.585116689,68.90594637
220800.4733,-5.717153958,68.61060561
223872.1139,-5.849398027,68.31209655
226986.4852,-5.981854599,68.01036814
230144.1817,-6.114529631,67.70536919
233345.8062,-6.247429337,67.39704846
236591.9697,-6.380560191,67.08535472
239883.2919,-6.513928933,66.77023678
243220.4009,-6.647542568,66.45164361
246603.9337,-6.781408374,66.12952436
250034.5362,-6.915533899,65.80382846
253512.863,-7.049926968,65.47450568
257039.5783,-7.184595681,65.14150617
260615.355,-7.319548418,64.8047806
264240.8757,-7.454793835,64.46428015
267916.8325,-7.590340871,64.11995665
271643.9269,-7.726198743,63.77176264
275422.8703,-7.862376947,63.4196514
279254.3841,-7.998885262,63.0635771
